id,domain,context,finding,metric,quantitative_impact,source,source_id,year
1,soil,"Meta-analysis of 73 paired comparisons from 18 studies across Ghana, Kenya, Zimbabwe, Tanzania, Malawi, Nigeria, Swaziland, Niger, South Africa, Benin, Mali and Ethiopia (MAP 570-1200mm), intercropping grain legumes with cereals vs cereal monocropping, no N fertilizer applied to cereals","Intercropping increased SOC concentration by ~15% overall; the increase was far larger (35%) when cereals received no N fertilizer than when they did (6%), because N fixation is suppressed by high mineral N availability. Site-level SOC accrual ranged 0.3-1.3 tC/ha/yr without N fertilizer (one Ghana site reached 3.7 tC/ha/yr with mucuna incorporation). Intercropping also reduced soil erosion by ~46% (10-13 data pairs, 6 studies) via increased ground cover.","soil_organic_carbon","+15% SOC concentration overall; up to 35% without N fertilizer; erosion -46%","FAO Recarbonizing Global Soils, Vol.4, Case Study 6 (Daryanto & Ren, citing Daryanto et al. 2020, Agricultural Systems 178:102761)",FAO-CS6,2021
2,biodiversity,"Same African intercropping meta-analysis (case study above)","Intercropping increases soil biodiversity because plant diversity drives soil biodiversity; legume residues also improve soil water management and, via pigeon pea hydraulic lift, can supply water to intercropped cereals under moisture stress.","soil_biodiversity","Qualitative increase in soil biodiversity and microbial/mycorrhizal activity; no single quantitative index reported","FAO Recarbonizing Global Soils, Vol.4, Case Study 6",FAO-CS6,2021
3,soil,"Chronosequence study, Colombian Amazon lowlands (Caqueta), Agroforestry for Conservation (A4C) project: 20-year forest-to-pasture conversion vs 20-year pasture-to-forest restoration vs 10-year pasture-to-cacao agroforestry conversion, Inceptisols/Oxisols, MAP 3700mm, MAT 26C","Forest-to-pasture conversion (deforestation) decreased 0-30cm SOC stock from 56.7 to 48.5 tC/ha (-20% over 20 years). Forest restoration on degraded pasture increased SOC from 37.9 to 47.4 tC/ha over 20 years (+0.5 tC/ha/yr). Cacao agroforestry conversion from pasture showed no significant SOC change after 10 years. Bulk density was essentially unchanged in this project.","soil_organic_carbon","Deforestation: -20% SOC over 20yr; forest restoration: +0.5 tC/ha/yr; cacao agroforestry: no significant change at 10yr","FAO Recarbonizing Global Soils, Vol.4, Case Study 36 (Navarrete et al., citing Navarrete et al. 2016)",FAO-CS36,2021
4,soil,"Chronosequence, Colombian Andes highlands, Bogota Water Fund project: 40-year pasture-to-forest conversion, Inceptisols, MAP 1800mm, MAT 12C","Pasture-to-forest restoration increased 0-30cm SOC stock from 182.0 to 285.6 tC/ha over 40 years (+2.6 tC/ha/yr), representing ~70% of total ecosystem carbon stock. Soil bulk density decreased from 0.69 to 0.53 g/cm3 over the same period, consistent with reduced compaction as SOC accrued.","soil_organic_carbon","+2.6 tC/ha/yr over 40yr (SOC +57%); bulk density -23%","FAO Recarbonizing Global Soils, Vol.4, Case Study 36 (Navarrete et al.)",FAO-CS36,2021
5,biodiversity,"Colombian Andean/Caribbean/Orinoco regions, Sustainable Cattle Ranching project: 9-year pasture-to-silvopastoral conversions (scattered trees, live fences, intensive silvopastoral systems) aimed at improving biodiversity, soil and water services on cattle-ranching land","Live fences significantly increased 0-30cm SOC stock after 9 years (Andean region: 4.8 to 8.2 tC/ha; Caribbean region: 5.8 to 16.7 tC/ha, +1.2 tC/ha/yr), alongside reduced bulk density; scattered-trees and intensive silvopastoral conversions showed smaller, non-significant SOC change over the same period. Silvopastoral systems are explicitly implemented to increase biodiversity and environmental service provision in livestock landscapes.","soil_organic_carbon","Live fences: +1.2 tC/ha/yr (Caribbean), +0.4 tC/ha/yr (Andean) after 9yr; other silvopastoral forms: non-significant at 9yr","FAO Recarbonizing Global Soils, Vol.4, Case Study 36 (Navarrete et al.)",FAO-CS36,2021
6,soil,"New South Wales, Australia rangeland grasslands (Vertisols/Durasols/Kandosols, MAP 300-800mm): rotational grazing (paddock rest 4-6 weeks up to 80-120 days) vs continuous grazing, compared across multiple NSW sites 4-10 years post-implementation","Rotational grazing increased 0-30cm SOC stocks at rates of 0.13-1.46 tC/ha/yr depending on site and rest regime, generally outperforming continuous grazing; Australian sequestration rates (mean ~0.09 tC/ha/yr across the wider literature) were markedly lower than comparable rotational-grazing sequestration rates reported for Africa (~0.21 tC/ha/yr) and South America (~0.69 tC/ha/yr), reflecting Australia's naturally lower baseline SOC and rainfall.","soil_organic_carbon","+0.13 to +1.46 tC/ha/yr depending on site (Australia); cf. 0.21 tC/ha/yr Africa, 0.69 tC/ha/yr South America for the same practice","FAO Recarbonizing Global Soils, Vol.4, Case Study 9 (Khalil et al., citing Orgill et al. 2017/2018, Chan et al. 2010)",FAO-CS9,2021
7,biodiversity,"Same NSW rotational grazing case study","Rotational grazing (rest periods that let plants recover between grazing bouts) reduces soil erosion, increases aboveground plant diversity and productivity, and increases microbial activity relative to continuous grazing, because vegetation is not persistently defoliated and roots can replenish reserves.","habitat_and_microbial_diversity","Qualitative increase in aboveground diversity and microbial activity vs continuous grazing; no single index reported","FAO Recarbonizing Global Soils, Vol.4, Case Study 9",FAO-CS9,2021
8,soil,"OpenLandMap-soildb: global 30m spatiotemporal machine-learning soil property maps, 2000-2022+, trained on more than 1 million harmonized legacy soil samples worldwide","Global soil organic carbon stock for the 0-30cm layer in 2020-2022 is estimated at 461 Pg; the world lost at least 11 Pg of topsoil SOC between 2000 and 2022, with losses concentrated in tropical regions undergoing deforestation (e.g. Indonesia) and boreal/tropical peatlands holding the largest remaining stocks (Canada, Russia).","soil_organic_carbon_global_stock","461 Pg global 0-30cm SOC stock (2020-2022); -11 Pg lost globally 2000-2022, concentrated in deforestation hotspots","OpenLandMap-soildb (Hengl et al. 2026, Earth System Science Data 18:989-1036)",OLM-2026,2026
9,soil,"OpenLandMap-soildb variable-importance analysis across the global 30m SOC density model","Landsat-derived Gross Primary Productivity (GPP) and NDVI are among the top three predictors of soil organic carbon density globally, with higher GPP/vegetation index and cooler climates associated with higher SOC; soil depth explains around 30% of SOC variability. Soil pH globally is primarily explained by the CHELSA long-term Aridity Index, annual precipitation, and salinity grade.","soil_organic_carbon_drivers","GPP/NDVI among top-3 SOC density predictors; soil depth ~30% of variance; pH driven mainly by aridity index, precipitation, salinity","OpenLandMap-soildb (Hengl et al. 2026, Earth System Science Data 18:989-1036)",OLM-2026,2026
10,landuse,"OpenLandMap-soildb land-cover transition analysis for 12,500 globally sampled points, comparing 2000-2005 vs 2020-2022 SOC density and pH against ESA CCI land cover change classes","Land-cover transitions involving loss of tree cover (e.g. broadleaved evergreen or deciduous forest converting to cropland or mosaic cropland/natural vegetation) show the strongest negative trends in soil organic carbon density; soil pH shows a milder, broadly uniform trend toward acidification across transition types.","soil_organic_carbon_landcover_change","Tree-cover-loss transitions show the largest SOC density declines of all land-cover change classes analyzed","OpenLandMap-soildb (Hengl et al. 2026, Earth System Science Data 18:989-1036)",OLM-2026,2026
